data,name,country,points,rank
2012/27,Bao Chunlai,China,3850,268
2012/26,Bao Chunlai,China,3850,267
2012/25,Bao Chunlai,China,3850,268
2012/24,Bao Chunlai,China,11770,133
2012/23,Bao Chunlai,China,11770,134
2012/22,Bao Chunlai,China,11770,132
2012/21,Bao Chunlai,China,11770,130
2012/20,Bao Chunlai,China,11770,131
2012/19,Bao Chunlai,China,11770,131
2012/18,Bao Chunlai,China,17720,89
2012/17,Bao Chunlai,China,17720,89
2012/16,Bao Chunlai,China,23670,61
2012/15,Bao Chunlai,China,23670,60
2012/14,Bao Chunlai,China,23670,60
2012/13,Bao Chunlai,China,23670,60
2012/12,Bao Chunlai,China,23670,59
2012/11,Bao Chunlai,China,23670,58
2012/10,Bao Chunlai,China,27990,45
2012/09,Bao Chunlai,China,27990,45
2012/08,Bao Chunlai,China,27990,46
2012/07,Bao Chunlai,China,27990,44
2012/06,Bao Chunlai,China,27990,44
2012/05,Bao Chunlai,China,27990,44
2012/04,Bao Chunlai,China,27990,44
2012/03,Bao Chunlai,China,27990,43
2012/02,Bao Chunlai,China,30210,38
2012/01,Bao Chunlai,China,34530,31
2011/52,Bao Chunlai,China,34530,31
2011/51,Bao Chunlai,China,34530,29
2011/50,Bao Chunlai,China,34530,31
2011/49,Bao Chunlai,China,34530,30
2011/48,Bao Chunlai,China,34530,30
2011/47,Bao Chunlai,China,47330,13
2011/46,Bao Chunlai,China,47330,15
2011/45,Bao Chunlai,China,47330,15
2011/44,Bao Chunlai,China,47330,14
2011/43,Bao Chunlai,China,47330,14
2011/42,Bao Chunlai,China,47330,14
2011/41,Bao Chunlai,China,47330,14
2011/40,Bao Chunlai,China,47330,14
2011/39,Bao Chunlai,China,47330,14
2011/38,Bao Chunlai,China,50150,12
2011/37,Bao Chunlai,China,52970,11
2011/36,Bao Chunlai,China,52970,11
2011/35,Bao Chunlai,China,52970,11
2011/34,Bao Chunlai,China,52970,11
2011/33,Bao Chunlai,China,52970,11
2011/32,Bao Chunlai,China,53920,10
2011/31,Bao Chunlai,China,53920,10
2011/30,Bao Chunlai,China,53920,11
2011/29,Bao Chunlai,China,53920,11
2011/28,Bao Chunlai,China,53920,11
2011/27,Bao Chunlai,China,53920,11
2011/26,Bao Chunlai,China,53920,11
2011/25,Bao Chunlai,China,53200,11
2011/24,Bao Chunlai,China,51820,10
2011/23,Bao Chunlai,China,51820,9
2011/22,Bao Chunlai,China,51820,9
2011/21,Bao Chunlai,China,51820,8
2011/20,Bao Chunlai,China,51820,8
2011/19,Bao Chunlai,China,55174,8
2011/18,Bao Chunlai,China,51444,11
2011/17,Bao Chunlai,China,51444,10
2011/16,Bao Chunlai,China,45494,13
2011/15,Bao Chunlai,China,45494,14
2011/14,Bao Chunlai,China,45494,14
2011/13,Bao Chunlai,China,45494,14
2011/12,Bao Chunlai,China,45494,14
2011/11,Bao Chunlai,China,45494,14
2011/10,Bao Chunlai,China,47594,13
2011/09,Bao Chunlai,China,52594,8
2011/08,Bao Chunlai,China,52594,9
2011/07,Bao Chunlai,China,52594,9
2011/06,Bao Chunlai,China,52594,9
2011/05,Bao Chunlai,China,48274,9
2011/04,Bao Chunlai,China,52594,9
2011/03,Bao Chunlai,China,49654,10
2011/02,Bao Chunlai,China,54694,9
2011/01,Bao Chunlai,China,54694,8
2010/52,Bao Chunlai,China,54694,8
2010/51,Bao Chunlai,China,54694,8
2010/50,Bao Chunlai,China,54694,8
2010/49,Bao Chunlai,China,54694,6
2010/48,Bao Chunlai,China,46894,9
2010/47,Bao Chunlai,China,44114,10
2010/46,Bao Chunlai,China,50534,10
2010/45,Bao Chunlai,China,50534,10
2010/44,Bao Chunlai,China,53354,7
2010/43,Bao Chunlai,China,53354,8
2010/42,Bao Chunlai,China,53354,8
2010/41,Bao Chunlai,China,53354,8
2010/40,Bao Chunlai,China,53354,8
2010/39,Bao Chunlai,China,53354,8
2010/38,Bao Chunlai,China,57514,6
2010/37,Bao Chunlai,China,54694,7
2010/36,Bao Chunlai,China,54694,7
2010/35,Bao Chunlai,China,54694,7
2010/34,Bao Chunlai,China,52114,9
2010/33,Bao Chunlai,China,52114,10
2010/32,Bao Chunlai,China,52114,10
2010/31,Bao Chunlai,China,52114,10
2010/30,Bao Chunlai,China,52114,10
2010/29,Bao Chunlai,China,52114,10
2010/28,Bao Chunlai,China,52114,10
2010/27,Bao Chunlai,China,52114,11
2010/26,Bao Chunlai,China,52114,11
2010/25,Bao Chunlai,China,52114,11
2010/24,Bao Chunlai,China,59094,6
2010/23,Bao Chunlai,China,59094,6
2010/22,Bao Chunlai,China,59094,6
2010/21,Bao Chunlai,China,59094,6
2010/20,Bao Chunlai,China,59094,6
2010/19,Bao Chunlai,China,55740,8
2010/18,Bao Chunlai,China,55740,8
2010/17,Bao Chunlai,China,55740,8
2010/16,Bao Chunlai,China,55740,8
2010/15,Bao Chunlai,China,60520,6
2010/14,Bao Chunlai,China,60520,6
2010/13,Bao Chunlai,China,60520,6
2010/12,Bao Chunlai,China,60520,6
2010/11,Bao Chunlai,China,60520,6
2010/10,Bao Chunlai,China,57700,6
2010/09,Bao Chunlai,China,57700,6
2010/08,Bao Chunlai,China,57700,6
2010/07,Bao Chunlai,China,57700,6
2010/06,Bao Chunlai,China,57700,6
2010/05,Bao Chunlai,China,57700,6
2010/04,Bao Chunlai,China,57700,6
2010/03,Bao Chunlai,China,56320,6
2010/02,Bao Chunlai,China,53500,8
2010/01,Bao Chunlai,China,53500,8
2009/53,Bao Chunlai,China,53500,8
2009/52,Bao Chunlai,China,53500,8
