data,name,country,points,rank
2014/10,Chen Jin,China,6050,242
2014/09,Chen Jin,China,6050,243
2014/08,Chen Jin,China,6050,243
2014/07,Chen Jin,China,6050,242
2014/06,Chen Jin,China,6050,242
2014/05,Chen Jin,China,6050,242
2014/04,Chen Jin,China,6050,242
2014/03,Chen Jin,China,6050,241
2014/02,Chen Jin,China,8710,185
2014/01,Chen Jin,China,8710,185
2013/52,Chen Jin,China,8710,185
2013/51,Chen Jin,China,8710,185
2013/50,Chen Jin,China,8710,189
2013/49,Chen Jin,China,8710,186
2013/48,Chen Jin,China,8710,182
2013/47,Chen Jin,China,10930,140
2013/46,Chen Jin,China,18630,88
2013/45,Chen Jin,China,18630,87
2013/44,Chen Jin,China,18630,83
2013/43,Chen Jin,China,18630,81
2013/42,Chen Jin,China,21290,69
2013/41,Chen Jin,China,21290,68
2013/40,Chen Jin,China,21290,66
2013/39,Chen Jin,China,21290,64
2013/38,Chen Jin,China,21290,65
2013/37,Chen Jin,China,24890,53
2013/36,Chen Jin,China,24890,54
2013/35,Chen Jin,China,24890,54
2013/34,Chen Jin,China,24890,56
2013/33,Chen Jin,China,24890,56
2013/32,Chen Jin,China,24890,55
2013/31,Chen Jin,China,31490,37
2013/30,Chen Jin,China,31490,37
2013/29,Chen Jin,China,31490,36
2013/28,Chen Jin,China,31490,35
2013/27,Chen Jin,China,31490,38
2013/26,Chen Jin,China,31490,38
2013/25,Chen Jin,China,31490,39
2013/24,Chen Jin,China,34150,34
2013/23,Chen Jin,China,34150,34
2013/22,Chen Jin,China,34150,34
2013/21,Chen Jin,China,41923,22
2013/20,Chen Jin,China,41923,22
2013/19,Chen Jin,China,41923,22
2013/18,Chen Jin,China,41923,22
2013/17,Chen Jin,China,46963,16
2013/16,Chen Jin,China,51743,11
2013/15,Chen Jin,China,51743,11
2013/14,Chen Jin,China,56083,7
2013/13,Chen Jin,China,56083,7
2013/12,Chen Jin,China,56083,7
2013/11,Chen Jin,China,60423,5
2013/10,Chen Jin,China,58693,5
2013/09,Chen Jin,China,58753,5
2013/08,Chen Jin,China,58753,5
2013/07,Chen Jin,China,58753,5
2013/06,Chen Jin,China,58753,5
2013/05,Chen Jin,China,58753,5
2013/04,Chen Jin,China,58753,5
2013/03,Chen Jin,China,58753,4
2013/02,Chen Jin,China,62453,3
2013/01,Chen Jin,China,63173,3
2012/52,Chen Jin,China,63173,3
2012/51,Chen Jin,China,63173,3
