data,name,country,points,rank
2022/39,Chen Long,China,31040,56
2022/38,Chen Long,China,40400,40
2022/37,Chen Long,China,60750,20
2022/36,Chen Long,China,71370,10
2022/35,Chen Long,China,76350,9
2022/34,Chen Long,China,76830,9
2022/33,Chen Long,China,76830,9
2022/32,Chen Long,China,80090,8
2022/31,Chen Long,China,80090,8
2022/30,Chen Long,China,84400,7
2022/29,Chen Long,China,84400,7
2022/28,Chen Long,China,84400,7
2022/27,Chen Long,China,84400,7
2022/26,Chen Long,China,84400,7
2022/25,Chen Long,China,84400,7
2022/24,Chen Long,China,84400,7
2022/23,Chen Long,China,84400,7
2022/22,Chen Long,China,84400,7
2022/21,Chen Long,China,84400,7
2022/20,Chen Long,China,84400,7
2022/19,Chen Long,China,84400,7
2022/18,Chen Long,China,84400,7
2022/17,Chen Long,China,84400,6
2022/16,Chen Long,China,84400,6
2022/15,Chen Long,China,84400,6
2022/14,Chen Long,China,84400,6
2022/13,Chen Long,China,84400,6
2022/12,Chen Long,China,84400,6
2022/11,Chen Long,China,84400,6
2022/09,Chen Long,China,84400,6
2022/08,Chen Long,China,84400,6
2022/07,Chen Long,China,84400,6
2022/06,Chen Long,China,84400,6
2022/05,Chen Long,China,84400,6
2022/04,Chen Long,China,84400,6
2022/03,Chen Long,China,84400,6
2022/02,Chen Long,China,84400,6
2022/01,Chen Long,China,84400,6
2021/52,Chen Long,China,84400,6
2021/51,Chen Long,China,84400,6
2021/50,Chen Long,China,84400,6
2021/49,Chen Long,China,84400,6
2021/48,Chen Long,China,84400,6
2021/47,Chen Long,China,84400,6
2021/46,Chen Long,China,84400,6
2021/45,Chen Long,China,84400,6
2021/44,Chen Long,China,84400,6
2021/43,Chen Long,China,84400,6
2021/42,Chen Long,China,84400,6
2021/41,Chen Long,China,84400,6
2021/40,Chen Long,China,84400,6
2021/39,Chen Long,China,84400,6
2021/38,Chen Long,China,84400,6
2021/37,Chen Long,China,84400,6
2021/36,Chen Long,China,84400,6
2021/35,Chen Long,China,84400,6
2021/34,Chen Long,China,84400,6
2021/33,Chen Long,China,84400,6
2021/32,Chen Long,China,84400,6
2021/31,Chen Long,China,84400,6
2021/30,Chen Long,China,78440,6
2021/29,Chen Long,China,78440,6
2021/28,Chen Long,China,78440,6
2021/27,Chen Long,China,78440,6
2021/26,Chen Long,China,78440,6
2021/25,Chen Long,China,78440,6
2021/24,Chen Long,China,78440,6
2021/23,Chen Long,China,78440,6
2021/22,Chen Long,China,78440,6
2021/21,Chen Long,China,78440,6
2021/20,Chen Long,China,78440,6
2021/19,Chen Long,China,78440,6
2021/18,Chen Long,China,78440,6
2021/17,Chen Long,China,78440,6
2021/16,Chen Long,China,78440,6
2021/15,Chen Long,China,78440,6
2021/14,Chen Long,China,78440,6
2021/13,Chen Long,China,78440,6
2021/12,Chen Long,China,78440,6
2021/11,Chen Long,China,78440,6
2021/10,Chen Long,China,78440,6
2021/09,Chen Long,China,78440,6
2021/08,Chen Long,China,78440,6
2021/07,Chen Long,China,78440,6
2021/06,Chen Long,China,78440,6
2021/05,Chen Long,China,78440,6
2020/51,Chen Long,China,78440,5
2020/48,Chen Long,China,78440,5
2020/46,Chen Long,China,78440,5
2020/45,Chen Long,China,78440,5
2020/43,Chen Long,China,78440,5
2020/41,Chen Long,China,78440,5
2020/36,Chen Long,China,78440,5
2020/12,Chen Long,China,78440,5
2020/11,Chen Long,China,76880,5
2020/10,Chen Long,China,76880,6
2020/09,Chen Long,China,76880,6
2020/08,Chen Long,China,76880,6
2020/07,Chen Long,China,76880,4
2020/06,Chen Long,China,76880,4
2020/05,Chen Long,China,76880,4
2020/04,Chen Long,China,76880,4
2020/03,Chen Long,China,76880,5
2020/02,Chen Long,China,79640,3
2020/01,Chen Long,China,79640,3
2019/52,Chen Long,China,79640,3
2019/51,Chen Long,China,79640,3
2019/50,Chen Long,China,76280,4
2019/49,Chen Long,China,76280,4
2019/48,Chen Long,China,76280,4
2019/47,Chen Long,China,76280,4
2019/46,Chen Long,China,76280,4
2019/45,Chen Long,China,78940,3
