data,name,country,points,rank
2023/50,Kento Momota,Japan,36300,37
2023/49,Kento Momota,Japan,36300,37
2023/48,Kento Momota,Japan,36300,37
2023/47,Kento Momota,Japan,36300,37
2023/46,Kento Momota,Japan,33480,41
2023/45,Kento Momota,Japan,28700,52
2023/44,Kento Momota,Japan,28700,52
2023/43,Kento Momota,Japan,28700,47
2023/42,Kento Momota,Japan,28700,48
2023/41,Kento Momota,Japan,28700,48
2023/40,Kento Momota,Japan,28700,48
2023/39,Kento Momota,Japan,28700,49
2023/38,Kento Momota,Japan,28700,50
2023/37,Kento Momota,Japan,28700,51
2023/36,Kento Momota,Japan,28700,48
2023/35,Kento Momota,Japan,28700,48
2023/34,Kento Momota,Japan,29680,42
2023/33,Kento Momota,Japan,29680,42
2023/32,Kento Momota,Japan,29680,42
2023/31,Kento Momota,Japan,29680,41
2023/30,Kento Momota,Japan,29680,40
2023/29,Kento Momota,Japan,26080,53
2023/28,Kento Momota,Japan,26080,53
2023/27,Kento Momota,Japan,23860,60
2023/26,Kento Momota,Japan,33210,34
2023/25,Kento Momota,Japan,33210,34
2023/24,Kento Momota,Japan,33210,33
2023/23,Kento Momota,Japan,33210,32
2023/22,Kento Momota,Japan,33210,32
2023/21,Kento Momota,Japan,34590,30
2023/20,Kento Momota,Japan,36810,30
2023/19,Kento Momota,Japan,46744,21
2023/18,Kento Momota,Japan,46744,21
2023/17,Kento Momota,Japan,47524,21
2023/16,Kento Momota,Japan,47524,21
2023/15,Kento Momota,Japan,47524,21
2023/14,Kento Momota,Japan,47524,22
2023/13,Kento Momota,Japan,47524,22
2023/12,Kento Momota,Japan,47524,22
2023/11,Kento Momota,Japan,51124,20
2023/10,Kento Momota,Japan,48444,23
2023/09,Kento Momota,Japan,48444,23
2023/08,Kento Momota,Japan,48444,23
2023/07,Kento Momota,Japan,48444,23
2023/06,Kento Momota,Japan,48444,23
2023/05,Kento Momota,Japan,48444,22
2023/04,Kento Momota,Japan,48444,19
2023/03,Kento Momota,Japan,47454,18
2023/02,Kento Momota,Japan,47454,16
2023/01,Kento Momota,Japan,47454,16
2022/52,Kento Momota,Japan,47454,18
2022/51,Kento Momota,Japan,61504,13
2022/50,Kento Momota,Japan,68704,9
2022/49,Kento Momota,Japan,68704,9
2022/48,Kento Momota,Japan,68704,9
2022/47,Kento Momota,Japan,68904,10
2022/46,Kento Momota,Japan,68904,10
2022/45,Kento Momota,Japan,72304,9
2022/44,Kento Momota,Japan,72304,9
2022/43,Kento Momota,Japan,72304,9
2022/42,Kento Momota,Japan,72304,9
2022/41,Kento Momota,Japan,72304,9
2022/40,Kento Momota,Japan,78304,7
2022/39,Kento Momota,Japan,86704,5
2022/38,Kento Momota,Japan,92904,2
2022/37,Kento Momota,Japan,99104,2
2022/36,Kento Momota,Japan,107104,2
2022/35,Kento Momota,Japan,110904,2
2022/34,Kento Momota,Japan,112704,2
2022/33,Kento Momota,Japan,112704,2
2022/32,Kento Momota,Japan,112704,2
2022/31,Kento Momota,Japan,112704,2
2022/30,Kento Momota,Japan,112704,2
2022/29,Kento Momota,Japan,112704,2
2022/28,Kento Momota,Japan,112704,2
2022/27,Kento Momota,Japan,112704,2
2022/26,Kento Momota,Japan,112554,2
2022/25,Kento Momota,Japan,112554,2
2022/24,Kento Momota,Japan,112554,2
2022/23,Kento Momota,Japan,112554,2
2022/22,Kento Momota,Japan,112554,2
2022/21,Kento Momota,Japan,112554,2
2022/20,Kento Momota,Japan,112554,2
2022/19,Kento Momota,Japan,112210,2
2022/18,Kento Momota,Japan,112210,2
2022/17,Kento Momota,Japan,112210,2
2022/16,Kento Momota,Japan,112210,2
2022/15,Kento Momota,Japan,112210,2
2022/14,Kento Momota,Japan,112210,2
2022/13,Kento Momota,Japan,112210,2
2022/12,Kento Momota,Japan,112210,2
2022/11,Kento Momota,Japan,112210,2
2022/09,Kento Momota,Japan,112210,2
2022/08,Kento Momota,Japan,112210,2
2022/07,Kento Momota,Japan,112210,2
2022/06,Kento Momota,Japan,112210,2
2022/05,Kento Momota,Japan,112210,2
2022/04,Kento Momota,Japan,112210,2
2022/03,Kento Momota,Japan,112210,2
2022/02,Kento Momota,Japan,112210,2
2022/01,Kento Momota,Japan,112210,2
2021/52,Kento Momota,Japan,112210,2
2021/51,Kento Momota,Japan,112210,2
2021/50,Kento Momota,Japan,112210,2
2021/49,Kento Momota,Japan,112210,2
2021/48,Kento Momota,Japan,112210,2
2021/47,Kento Momota,Japan,112210,1
2021/46,Kento Momota,Japan,110410,1
2021/45,Kento Momota,Japan,110410,1
2021/44,Kento Momota,Japan,110410,1
2021/43,Kento Momota,Japan,110410,1
2021/42,Kento Momota,Japan,109410,1
2021/41,Kento Momota,Japan,109410,1
2021/40,Kento Momota,Japan,109410,1
2021/39,Kento Momota,Japan,109118,1
2021/38,Kento Momota,Japan,109118,1
2021/37,Kento Momota,Japan,109118,1
2021/36,Kento Momota,Japan,109118,1
2021/35,Kento Momota,Japan,109118,1
2021/34,Kento Momota,Japan,109118,1
2021/33,Kento Momota,Japan,109118,1
2021/32,Kento Momota,Japan,109118,1
2021/31,Kento Momota,Japan,109118,1
2021/30,Kento Momota,Japan,109118,1
2021/29,Kento Momota,Japan,109118,1
2021/28,Kento Momota,Japan,109118,1
2021/27,Kento Momota,Japan,109118,1
2021/26,Kento Momota,Japan,109118,1
2021/25,Kento Momota,Japan,109118,1
2021/24,Kento Momota,Japan,109118,1
2021/23,Kento Momota,Japan,109118,1
2021/22,Kento Momota,Japan,109118,1
2021/21,Kento Momota,Japan,109118,1
2021/20,Kento Momota,Japan,109118,1
2021/19,Kento Momota,Japan,109118,1
2021/18,Kento Momota,Japan,109118,1
2021/17,Kento Momota,Japan,109118,1
2021/16,Kento Momota,Japan,109118,1
2021/15,Kento Momota,Japan,109118,1
2021/14,Kento Momota,Japan,109118,1
2021/13,Kento Momota,Japan,109118,1
2021/12,Kento Momota,Japan,109118,1
2021/11,Kento Momota,Japan,109118,1
2021/10,Kento Momota,Japan,109118,1
2021/09,Kento Momota,Japan,109118,1
2021/08,Kento Momota,Japan,109118,1
2021/07,Kento Momota,Japan,109118,1
2021/06,Kento Momota,Japan,109118,1
2021/05,Kento Momota,Japan,109118,1
2020/51,Kento Momota,Japan,109118,1
2020/48,Kento Momota,Japan,109118,1
2020/46,Kento Momota,Japan,109118,1
2020/45,Kento Momota,Japan,109118,1
2020/43,Kento Momota,Japan,109118,1
2020/41,Kento Momota,Japan,109118,1
2020/36,Kento Momota,Japan,109118,1
2020/12,Kento Momota,Japan,109118,1
2020/11,Kento Momota,Japan,109118,1
2020/10,Kento Momota,Japan,111918,1
2020/09,Kento Momota,Japan,111918,1
2020/08,Kento Momota,Japan,111918,1
2020/07,Kento Momota,Japan,111918,1
2020/06,Kento Momota,Japan,111918,1
2020/05,Kento Momota,Japan,111918,1
2020/04,Kento Momota,Japan,111918,1
2020/03,Kento Momota,Japan,111918,1
2020/02,Kento Momota,Japan,111918,1
2020/01,Kento Momota,Japan,111918,1
2019/52,Kento Momota,Japan,111918,1
2019/51,Kento Momota,Japan,111918,1
2019/50,Kento Momota,Japan,110118,1
2019/49,Kento Momota,Japan,110118,1
2019/48,Kento Momota,Japan,110118,1
2019/47,Kento Momota,Japan,110118,1
2019/46,Kento Momota,Japan,110118,1
2019/45,Kento Momota,Japan,110118,1
2019/44,Kento Momota,Japan,110118,1
2019/43,Kento Momota,Japan,110118,1
2019/42,Kento Momota,Japan,110118,1
2019/41,Kento Momota,Japan,110118,1
2019/40,Kento Momota,Japan,110118,1
2019/39,Kento Momota,Japan,110118,1
2019/38,Kento Momota,Japan,108318,1
2019/37,Kento Momota,Japan,108318,1
2019/36,Kento Momota,Japan,108318,1
2019/35,Kento Momota,Japan,108318,1
2019/34,Kento Momota,Japan,103118,1
2019/33,Kento Momota,Japan,103118,1
2019/32,Kento Momota,Japan,103118,1
2019/31,Kento Momota,Japan,108318,1
2019/30,Kento Momota,Japan,108318,1
2019/29,Kento Momota,Japan,108318,1
2019/28,Kento Momota,Japan,108318,1
2019/27,Kento Momota,Japan,111118,1
2019/26,Kento Momota,Japan,111118,1
2019/25,Kento Momota,Japan,111118,1
2019/24,Kento Momota,Japan,111118,1
2019/23,Kento Momota,Japan,111118,1
2019/22,Kento Momota,Japan,111118,1
2019/21,Kento Momota,Japan,108800,1
2019/20,Kento Momota,Japan,108800,1
2019/19,Kento Momota,Japan,108800,1
2019/18,Kento Momota,Japan,108800,1
2019/17,Kento Momota,Japan,108800,1
2019/16,Kento Momota,Japan,108800,1
2019/15,Kento Momota,Japan,107400,1
2019/14,Kento Momota,Japan,108950,1
2019/13,Kento Momota,Japan,108950,1
2019/12,Kento Momota,Japan,108950,1
2019/11,Kento Momota,Japan,108950,1
2019/10,Kento Momota,Japan,104750,1
2019/09,Kento Momota,Japan,104750,1
2019/08,Kento Momota,Japan,104750,1
2019/07,Kento Momota,Japan,104750,1
2019/06,Kento Momota,Japan,104750,1
2019/05,Kento Momota,Japan,104750,1
2019/04,Kento Momota,Japan,104650,1
2019/03,Kento Momota,Japan,104650,1
2019/02,Kento Momota,Japan,104650,1
2019/01,Kento Momota,Japan,104650,1
2018/52,Kento Momota,Japan,104650,1
2018/51,Kento Momota,Japan,104650,1
2018/50,Kento Momota,Japan,100870,1
2018/49,Kento Momota,Japan,100870,1
2018/48,Kento Momota,Japan,100870,1
2018/47,Kento Momota,Japan,100870,1
2018/46,Kento Momota,Japan,100307,1
2018/45,Kento Momota,Japan,96307,1
2018/44,Kento Momota,Japan,96307,1
2018/43,Kento Momota,Japan,92607,1
2018/42,Kento Momota,Japan,85457,1
2018/41,Kento Momota,Japan,87107,1
2018/40,Kento Momota,Japan,87107,1
2018/39,Kento Momota,Japan,87107,1
2018/38,Kento Momota,Japan,80907,2
2018/37,Kento Momota,Japan,73907,4
2018/36,Kento Momota,Japan,73907,4
2018/35,Kento Momota,Japan,73907,4
2018/34,Kento Momota,Japan,73907,4
2018/33,Kento Momota,Japan,73907,4
2018/32,Kento Momota,Japan,73907,4
