data,name,country,points,rank
2019/24,Lee Chong Wei,Malaysia,8400,191
2019/23,Lee Chong Wei,Malaysia,8400,190
2019/22,Lee Chong Wei,Malaysia,8400,190
2019/21,Lee Chong Wei,Malaysia,15715,110
2019/20,Lee Chong Wei,Malaysia,15715,110
2019/19,Lee Chong Wei,Malaysia,15715,113
2019/18,Lee Chong Wei,Malaysia,15715,115
2019/17,Lee Chong Wei,Malaysia,22135,73
2019/16,Lee Chong Wei,Malaysia,22135,74
2019/15,Lee Chong Wei,Malaysia,22135,77
2019/14,Lee Chong Wei,Malaysia,33135,44
2019/13,Lee Chong Wei,Malaysia,33135,41
2019/12,Lee Chong Wei,Malaysia,33135,41
2019/11,Lee Chong Wei,Malaysia,33135,41
2019/10,Lee Chong Wei,Malaysia,39735,31
2019/09,Lee Chong Wei,Malaysia,39735,30
2019/08,Lee Chong Wei,Malaysia,39735,31
2019/07,Lee Chong Wei,Malaysia,39735,31
2019/06,Lee Chong Wei,Malaysia,40663,30
2019/05,Lee Chong Wei,Malaysia,40663,31
2019/04,Lee Chong Wei,Malaysia,40663,31
2019/03,Lee Chong Wei,Malaysia,42883,29
2019/02,Lee Chong Wei,Malaysia,42883,28
2019/01,Lee Chong Wei,Malaysia,42883,28
2018/52,Lee Chong Wei,Malaysia,42883,28
2018/51,Lee Chong Wei,Malaysia,42883,28
2018/50,Lee Chong Wei,Malaysia,52233,15
2018/49,Lee Chong Wei,Malaysia,52233,15
2018/48,Lee Chong Wei,Malaysia,52233,15
2018/47,Lee Chong Wei,Malaysia,52233,14
2018/46,Lee Chong Wei,Malaysia,61433,9
2018/45,Lee Chong Wei,Malaysia,61433,8
2018/44,Lee Chong Wei,Malaysia,61433,8
2018/43,Lee Chong Wei,Malaysia,63653,7
2018/42,Lee Chong Wei,Malaysia,67973,5
2018/41,Lee Chong Wei,Malaysia,67973,5
2018/40,Lee Chong Wei,Malaysia,67973,5
2018/39,Lee Chong Wei,Malaysia,67973,5
2018/38,Lee Chong Wei,Malaysia,71803,4
2018/37,Lee Chong Wei,Malaysia,77383,3
2018/36,Lee Chong Wei,Malaysia,77383,3
2018/35,Lee Chong Wei,Malaysia,77383,3
2018/34,Lee Chong Wei,Malaysia,77383,3
2018/33,Lee Chong Wei,Malaysia,77383,3
2018/32,Lee Chong Wei,Malaysia,77383,3
2018/31,Lee Chong Wei,Malaysia,77383,2
2018/30,Lee Chong Wei,Malaysia,77383,2
2018/29,Lee Chong Wei,Malaysia,77383,2
2018/28,Lee Chong Wei,Malaysia,77383,2
2018/27,Lee Chong Wei,Malaysia,71203,4
