data,name,country,points,rank
2023/50,Lee Zii Jia,Malaysia,68226,10
2023/49,Lee Zii Jia,Malaysia,68226,10
2023/48,Lee Zii Jia,Malaysia,68226,10
2023/47,Lee Zii Jia,Malaysia,66496,11
2023/46,Lee Zii Jia,Malaysia,66496,11
2023/45,Lee Zii Jia,Malaysia,66496,11
2023/44,Lee Zii Jia,Malaysia,66496,11
2023/43,Lee Zii Jia,Malaysia,65776,11
2023/42,Lee Zii Jia,Malaysia,65776,11
2023/41,Lee Zii Jia,Malaysia,60176,14
2023/40,Lee Zii Jia,Malaysia,57176,16
2023/39,Lee Zii Jia,Malaysia,57176,16
2023/38,Lee Zii Jia,Malaysia,57176,16
2023/37,Lee Zii Jia,Malaysia,56576,16
2023/36,Lee Zii Jia,Malaysia,56576,14
2023/35,Lee Zii Jia,Malaysia,56576,14
2023/34,Lee Zii Jia,Malaysia,56576,13
2023/33,Lee Zii Jia,Malaysia,56576,13
2023/32,Lee Zii Jia,Malaysia,56576,13
2023/31,Lee Zii Jia,Malaysia,53156,17
2023/30,Lee Zii Jia,Malaysia,53156,18
2023/29,Lee Zii Jia,Malaysia,53156,17
2023/28,Lee Zii Jia,Malaysia,53156,17
2023/27,Lee Zii Jia,Malaysia,53156,16
2023/26,Lee Zii Jia,Malaysia,54476,14
2023/25,Lee Zii Jia,Malaysia,54476,13
2023/24,Lee Zii Jia,Malaysia,59876,11
2023/23,Lee Zii Jia,Malaysia,59876,10
2023/22,Lee Zii Jia,Malaysia,59876,10
2023/21,Lee Zii Jia,Malaysia,59276,10
2023/20,Lee Zii Jia,Malaysia,65405,8
2023/19,Lee Zii Jia,Malaysia,67468,8
2023/18,Lee Zii Jia,Malaysia,67468,8
2023/17,Lee Zii Jia,Malaysia,75868,4
2023/16,Lee Zii Jia,Malaysia,75868,4
2023/15,Lee Zii Jia,Malaysia,75868,4
2023/14,Lee Zii Jia,Malaysia,75868,4
2023/13,Lee Zii Jia,Malaysia,75868,4
2023/12,Lee Zii Jia,Malaysia,74568,4
2023/11,Lee Zii Jia,Malaysia,74568,4
2023/10,Lee Zii Jia,Malaysia,75868,4
2023/09,Lee Zii Jia,Malaysia,75868,4
2023/08,Lee Zii Jia,Malaysia,75868,4
2023/07,Lee Zii Jia,Malaysia,75868,4
2023/06,Lee Zii Jia,Malaysia,75868,4
2023/05,Lee Zii Jia,Malaysia,75868,4
2023/04,Lee Zii Jia,Malaysia,76588,4
2023/03,Lee Zii Jia,Malaysia,76588,2
2023/02,Lee Zii Jia,Malaysia,76588,2
2023/01,Lee Zii Jia,Malaysia,76588,2
2022/52,Lee Zii Jia,Malaysia,79468,2
2022/51,Lee Zii Jia,Malaysia,82968,2
2022/50,Lee Zii Jia,Malaysia,87128,2
2022/49,Lee Zii Jia,Malaysia,87128,2
2022/48,Lee Zii Jia,Malaysia,87128,2
2022/47,Lee Zii Jia,Malaysia,87128,2
2022/46,Lee Zii Jia,Malaysia,87128,2
2022/45,Lee Zii Jia,Malaysia,92528,2
2022/44,Lee Zii Jia,Malaysia,92528,2
2022/43,Lee Zii Jia,Malaysia,92528,2
2022/42,Lee Zii Jia,Malaysia,91578,3
2022/41,Lee Zii Jia,Malaysia,91578,3
2022/40,Lee Zii Jia,Malaysia,91578,3
2022/39,Lee Zii Jia,Malaysia,91578,3
2022/38,Lee Zii Jia,Malaysia,91578,4
2022/37,Lee Zii Jia,Malaysia,91578,4
2022/36,Lee Zii Jia,Malaysia,91578,4
2022/35,Lee Zii Jia,Malaysia,91578,4
2022/34,Lee Zii Jia,Malaysia,91578,5
2022/33,Lee Zii Jia,Malaysia,91578,5
2022/32,Lee Zii Jia,Malaysia,91578,5
2022/31,Lee Zii Jia,Malaysia,91578,5
2022/30,Lee Zii Jia,Malaysia,91578,5
2022/29,Lee Zii Jia,Malaysia,91578,5
2022/28,Lee Zii Jia,Malaysia,91578,5
2022/27,Lee Zii Jia,Malaysia,91578,5
2022/26,Lee Zii Jia,Malaysia,91578,5
2022/25,Lee Zii Jia,Malaysia,91578,5
2022/24,Lee Zii Jia,Malaysia,90378,5
2022/23,Lee Zii Jia,Malaysia,90378,5
2022/22,Lee Zii Jia,Malaysia,90378,5
2022/21,Lee Zii Jia,Malaysia,90378,5
2022/20,Lee Zii Jia,Malaysia,87778,6
2022/19,Lee Zii Jia,Malaysia,86564,6
2022/18,Lee Zii Jia,Malaysia,86564,6
2022/17,Lee Zii Jia,Malaysia,81164,7
2022/16,Lee Zii Jia,Malaysia,81164,7
2022/15,Lee Zii Jia,Malaysia,81164,7
2022/14,Lee Zii Jia,Malaysia,81164,7
2022/13,Lee Zii Jia,Malaysia,81164,7
2022/12,Lee Zii Jia,Malaysia,81164,7
2022/11,Lee Zii Jia,Malaysia,79364,7
2022/09,Lee Zii Jia,Malaysia,79364,7
2022/08,Lee Zii Jia,Malaysia,79364,7
2022/07,Lee Zii Jia,Malaysia,78860,7
2022/06,Lee Zii Jia,Malaysia,78860,7
2022/05,Lee Zii Jia,Malaysia,78860,7
2022/04,Lee Zii Jia,Malaysia,78860,7
2022/03,Lee Zii Jia,Malaysia,78860,7
2022/02,Lee Zii Jia,Malaysia,78860,7
2022/01,Lee Zii Jia,Malaysia,78860,7
2021/52,Lee Zii Jia,Malaysia,78860,7
2021/51,Lee Zii Jia,Malaysia,78860,7
2021/50,Lee Zii Jia,Malaysia,78080,7
2021/49,Lee Zii Jia,Malaysia,78080,7
2021/48,Lee Zii Jia,Malaysia,76100,8
2021/47,Lee Zii Jia,Malaysia,76100,7
2021/46,Lee Zii Jia,Malaysia,76100,7
2021/45,Lee Zii Jia,Malaysia,76100,7
