data,name,country,points,rank
2021/45,Lin Dan,China,47670,25
2021/44,Lin Dan,China,47670,25
2021/43,Lin Dan,China,47670,25
2021/42,Lin Dan,China,47670,22
2021/41,Lin Dan,China,47670,21
2021/40,Lin Dan,China,47670,21
2021/39,Lin Dan,China,47670,21
2021/38,Lin Dan,China,47670,21
2021/37,Lin Dan,China,47670,21
2021/36,Lin Dan,China,47670,21
2021/35,Lin Dan,China,47670,21
2021/34,Lin Dan,China,47670,21
2021/33,Lin Dan,China,47670,21
2021/32,Lin Dan,China,47670,21
2021/31,Lin Dan,China,47670,21
2021/30,Lin Dan,China,47670,21
2021/29,Lin Dan,China,47670,21
2021/28,Lin Dan,China,47670,21
2021/27,Lin Dan,China,47670,21
2021/26,Lin Dan,China,47670,21
2021/25,Lin Dan,China,47670,21
2021/24,Lin Dan,China,47670,21
2021/23,Lin Dan,China,47670,21
2021/22,Lin Dan,China,47670,21
2021/21,Lin Dan,China,47670,21
2021/20,Lin Dan,China,47670,21
2021/19,Lin Dan,China,47670,21
2021/18,Lin Dan,China,47670,21
2021/17,Lin Dan,China,47670,21
2021/16,Lin Dan,China,47670,21
2021/15,Lin Dan,China,47670,21
2021/14,Lin Dan,China,47670,21
2021/13,Lin Dan,China,47670,21
2021/12,Lin Dan,China,47670,20
2021/11,Lin Dan,China,47670,20
2021/10,Lin Dan,China,47670,20
2021/09,Lin Dan,China,47670,20
2021/08,Lin Dan,China,47670,20
2021/07,Lin Dan,China,47670,20
2021/06,Lin Dan,China,47670,20
2021/05,Lin Dan,China,47670,20
2020/51,Lin Dan,China,47670,19
2020/48,Lin Dan,China,47670,19
2020/46,Lin Dan,China,47670,19
2020/45,Lin Dan,China,47670,19
2020/43,Lin Dan,China,47670,19
2020/41,Lin Dan,China,47670,19
2020/36,Lin Dan,China,47670,19
2020/12,Lin Dan,China,47670,19
2020/11,Lin Dan,China,46720,19
2020/10,Lin Dan,China,46720,21
2020/09,Lin Dan,China,46720,21
2020/08,Lin Dan,China,46720,21
2020/07,Lin Dan,China,46720,19
2020/06,Lin Dan,China,46720,19
2020/05,Lin Dan,China,46720,19
2020/04,Lin Dan,China,46720,19
2020/03,Lin Dan,China,46720,18
2020/02,Lin Dan,China,49470,17
2020/01,Lin Dan,China,49470,17
2019/52,Lin Dan,China,49470,17
2019/51,Lin Dan,China,49470,17
2019/50,Lin Dan,China,49470,16
2019/49,Lin Dan,China,49470,16
2019/48,Lin Dan,China,49470,16
2019/47,Lin Dan,China,49470,16
2019/46,Lin Dan,China,49070,17
2019/45,Lin Dan,China,49070,18
2019/44,Lin Dan,China,49070,18
2019/43,Lin Dan,China,47750,19
2019/42,Lin Dan,China,49070,18
2019/41,Lin Dan,China,49070,18
2019/40,Lin Dan,China,49070,18
2019/39,Lin Dan,China,49470,19
2019/38,Lin Dan,China,49470,19
2019/37,Lin Dan,China,49470,19
2019/36,Lin Dan,China,49470,19
2019/35,Lin Dan,China,49470,19
2019/34,Lin Dan,China,49470,17
2019/33,Lin Dan,China,49470,17
2019/32,Lin Dan,China,49470,17
2019/31,Lin Dan,China,51070,14
2019/30,Lin Dan,China,53520,14
2019/29,Lin Dan,China,52320,14
2019/28,Lin Dan,China,52320,15
2019/27,Lin Dan,China,52320,16
2019/26,Lin Dan,China,52320,16
2019/25,Lin Dan,China,52320,16
2019/24,Lin Dan,China,52320,16
2019/23,Lin Dan,China,51470,16
2019/22,Lin Dan,China,51470,16
2019/21,Lin Dan,China,54273,14
2019/20,Lin Dan,China,54273,14
2019/19,Lin Dan,China,54273,15
2019/18,Lin Dan,China,56373,12
2019/17,Lin Dan,China,55773,13
2019/16,Lin Dan,China,55773,13
2019/15,Lin Dan,China,55773,13
2019/14,Lin Dan,China,49093,16
2019/13,Lin Dan,China,49093,16
2019/12,Lin Dan,China,49093,16
2019/11,Lin Dan,China,48243,16
2019/10,Lin Dan,China,55443,12
2019/09,Lin Dan,China,56293,12
2019/08,Lin Dan,China,56293,12
2019/07,Lin Dan,China,56293,12
2019/06,Lin Dan,China,56293,12
2019/05,Lin Dan,China,56293,13
2019/04,Lin Dan,China,56293,13
2019/03,Lin Dan,China,56293,13
2019/02,Lin Dan,China,53343,13
2019/01,Lin Dan,China,53343,13
2018/52,Lin Dan,China,53343,13
2018/51,Lin Dan,China,53343,13
2018/50,Lin Dan,China,53343,13
2018/49,Lin Dan,China,53343,13
2018/48,Lin Dan,China,53343,13
2018/47,Lin Dan,China,53343,13
2018/46,Lin Dan,China,55383,13
2018/45,Lin Dan,China,55383,13
2018/44,Lin Dan,China,55383,13
2018/43,Lin Dan,China,55383,12
2018/42,Lin Dan,China,54063,14
2018/41,Lin Dan,China,54063,14
2018/40,Lin Dan,China,54063,14
2018/39,Lin Dan,China,53463,12
2018/38,Lin Dan,China,53123,12
2018/37,Lin Dan,China,52113,15
2018/36,Lin Dan,China,52113,15
2018/35,Lin Dan,China,52113,14
2018/34,Lin Dan,China,52113,14
2018/33,Lin Dan,China,52113,14
2018/32,Lin Dan,China,52113,14
2018/31,Lin Dan,China,57113,9
2018/30,Lin Dan,China,57113,9
2018/29,Lin Dan,China,57113,9
2018/28,Lin Dan,China,57113,9
2018/27,Lin Dan,China,56333,9
2018/26,Lin Dan,China,54233,8
2018/25,Lin Dan,China,54233,8
2018/24,Lin Dan,China,54673,10
2018/23,Lin Dan,China,54673,10
2018/22,Lin Dan,China,54673,10
2018/21,Lin Dan,China,56216,8
2018/20,Lin Dan,China,56216,8
2018/19,Lin Dan,China,59036,8
2018/18,Lin Dan,China,54256,10
2018/17,Lin Dan,China,59836,8
2018/16,Lin Dan,China,62076,8
2018/15,Lin Dan,China,62076,8
2018/14,Lin Dan,China,70416,7
2018/13,Lin Dan,China,70416,7
2018/12,Lin Dan,China,70416,7
2018/11,Lin Dan,China,62876,8
2018/10,Lin Dan,China,66726,7
2018/09,Lin Dan,China,66786,8
2018/08,Lin Dan,China,71066,6
2018/07,Lin Dan,China,71066,6
2018/06,Lin Dan,China,71066,6
2018/05,Lin Dan,China,71066,6
2018/04,Lin Dan,China,71066,6
2018/03,Lin Dan,China,71066,6
2018/02,Lin Dan,China,71066,6
2018/01,Lin Dan,China,71066,6
2017/52,Lin Dan,China,71066,6
2017/51,Lin Dan,China,71066,6
2017/50,Lin Dan,China,71066,6
2017/49,Lin Dan,China,71066,6
2017/48,Lin Dan,China,71066,6
2017/47,Lin Dan,China,68746,5
2017/46,Lin Dan,China,68746,4
2017/45,Lin Dan,China,68746,4
2017/44,Lin Dan,China,68746,4
2017/43,Lin Dan,China,68746,3
2017/42,Lin Dan,China,68746,3
2017/41,Lin Dan,China,68746,3
2017/40,Lin Dan,China,68746,3
2017/39,Lin Dan,China,68746,3
2017/38,Lin Dan,China,66366,3
2017/37,Lin Dan,China,66366,3
2017/36,Lin Dan,China,66366,4
2017/35,Lin Dan,China,66366,4
2017/34,Lin Dan,China,56166,7
2017/33,Lin Dan,China,64566,7
2017/32,Lin Dan,China,64566,7
2017/31,Lin Dan,China,64566,7
2017/30,Lin Dan,China,64566,7
2017/29,Lin Dan,China,64566,7
2017/28,Lin Dan,China,64566,7
2017/27,Lin Dan,China,64566,7
2017/26,Lin Dan,China,64566,7
2017/25,Lin Dan,China,59526,7
2017/24,Lin Dan,China,56866,7
2017/23,Lin Dan,China,56866,8
2017/22,Lin Dan,China,61186,7
2017/21,Lin Dan,China,53840,9
2017/20,Lin Dan,China,61838,7
2017/19,Lin Dan,China,61838,7
2017/18,Lin Dan,China,61838,7
2017/17,Lin Dan,China,60458,8
2017/16,Lin Dan,China,62558,8
2017/15,Lin Dan,China,68978,6
2017/14,Lin Dan,China,64028,6
2017/13,Lin Dan,China,64908,6
2017/12,Lin Dan,China,64908,6
2017/11,Lin Dan,China,60628,7
2017/10,Lin Dan,China,63928,7
2017/09,Lin Dan,China,68208,6
2017/08,Lin Dan,China,68208,6
2017/07,Lin Dan,China,68208,6
2017/06,Lin Dan,China,68208,6
2017/05,Lin Dan,China,68208,6
2017/04,Lin Dan,China,68208,6
2017/03,Lin Dan,China,68208,6
2017/02,Lin Dan,China,68208,6
2017/01,Lin Dan,China,68208,6
2016/52,Lin Dan,China,68208,6
2016/51,Lin Dan,China,68208,6
2016/50,Lin Dan,China,68208,5
2016/49,Lin Dan,China,68208,5
2016/48,Lin Dan,China,68208,5
2016/47,Lin Dan,China,68208,5
2016/46,Lin Dan,China,72308,3
2016/45,Lin Dan,China,72308,3
2016/44,Lin Dan,China,72308,3
2016/43,Lin Dan,China,72308,3
2016/42,Lin Dan,China,74038,3
2016/41,Lin Dan,China,74038,3
2016/40,Lin Dan,China,74038,3
2016/39,Lin Dan,China,74038,3
2016/38,Lin Dan,China,74038,3
2016/37,Lin Dan,China,77188,3
2016/36,Lin Dan,China,77188,3
2016/35,Lin Dan,China,77188,3
2016/34,Lin Dan,China,77188,3
2016/33,Lin Dan,China,75388,3
2016/32,Lin Dan,China,75388,3
2016/31,Lin Dan,China,75388,3
2016/30,Lin Dan,China,75388,3
2016/29,Lin Dan,China,75388,3
2016/28,Lin Dan,China,75388,3
2016/27,Lin Dan,China,75388,3
2016/26,Lin Dan,China,75388,3
2016/25,Lin Dan,China,75388,3
2016/24,Lin Dan,China,75388,3
2016/23,Lin Dan,China,75388,3
2016/22,Lin Dan,China,75388,3
2016/21,Lin Dan,China,75388,3
2016/20,Lin Dan,China,75327,3
2016/19,Lin Dan,China,75327,3
2016/18,Lin Dan,China,75327,3
2016/17,Lin Dan,China,78107,3
2016/16,Lin Dan,China,77157,3
2016/15,Lin Dan,China,76237,4
2016/14,Lin Dan,China,79537,3
2016/13,Lin Dan,China,79537,2
2016/12,Lin Dan,China,79537,2
2016/11,Lin Dan,China,79537,2
2016/10,Lin Dan,China,76237,4
2016/09,Lin Dan,China,74277,5
2016/08,Lin Dan,China,74277,5
2016/07,Lin Dan,China,74277,5
2016/06,Lin Dan,China,74277,5
2016/05,Lin Dan,China,74277,5
