data,name,country,points,rank
2013/43,Peter Gade,Denmark,5040,248
2013/42,Peter Gade,Denmark,7700,182
2013/41,Peter Gade,Denmark,7700,190
2013/40,Peter Gade,Denmark,7700,191
2013/39,Peter Gade,Denmark,7700,186
2013/38,Peter Gade,Denmark,9920,153
2013/37,Peter Gade,Denmark,9920,151
2013/36,Peter Gade,Denmark,9920,150
2013/35,Peter Gade,Denmark,9920,152
2013/34,Peter Gade,Denmark,9920,151
2013/33,Peter Gade,Denmark,9920,152
2013/32,Peter Gade,Denmark,9920,151
2013/31,Peter Gade,Denmark,16520,95
2013/30,Peter Gade,Denmark,16520,95
2013/29,Peter Gade,Denmark,16520,94
2013/28,Peter Gade,Denmark,16520,95
2013/27,Peter Gade,Denmark,16520,96
2013/26,Peter Gade,Denmark,16520,95
2013/25,Peter Gade,Denmark,16520,94
2013/24,Peter Gade,Denmark,19180,78
2013/23,Peter Gade,Denmark,19180,78
2013/22,Peter Gade,Denmark,19180,79
2013/21,Peter Gade,Denmark,27242,46
2013/20,Peter Gade,Denmark,27242,46
2013/19,Peter Gade,Denmark,27242,46
2013/18,Peter Gade,Denmark,27242,46
2013/17,Peter Gade,Denmark,32282,37
2013/16,Peter Gade,Denmark,36132,32
2013/15,Peter Gade,Denmark,36132,32
2013/14,Peter Gade,Denmark,36132,31
2013/13,Peter Gade,Denmark,36132,31
2013/12,Peter Gade,Denmark,36132,31
2013/11,Peter Gade,Denmark,37802,27
2013/10,Peter Gade,Denmark,40462,27
2013/09,Peter Gade,Denmark,40462,27
2013/08,Peter Gade,Denmark,40462,27
2013/07,Peter Gade,Denmark,40462,28
2013/06,Peter Gade,Denmark,40462,28
2013/05,Peter Gade,Denmark,40462,28
2013/04,Peter Gade,Denmark,40462,28
2013/03,Peter Gade,Denmark,40462,28
2013/02,Peter Gade,Denmark,42392,23
2013/01,Peter Gade,Denmark,42832,24
2012/52,Peter Gade,Denmark,42832,24
2012/51,Peter Gade,Denmark,42832,24
2012/50,Peter Gade,Denmark,47872,18
2012/49,Peter Gade,Denmark,47872,18
2012/48,Peter Gade,Denmark,47872,18
2012/47,Peter Gade,Denmark,47872,17
2012/46,Peter Gade,Denmark,53642,12
2012/45,Peter Gade,Denmark,53642,12
2012/44,Peter Gade,Denmark,53642,12
2012/43,Peter Gade,Denmark,52202,12
2012/42,Peter Gade,Denmark,57242,8
2012/41,Peter Gade,Denmark,57242,8
2012/40,Peter Gade,Denmark,57242,8
2012/39,Peter Gade,Denmark,57242,8
2012/38,Peter Gade,Denmark,60062,6
2012/37,Peter Gade,Denmark,62882,5
2012/36,Peter Gade,Denmark,62882,5
2012/35,Peter Gade,Denmark,62882,5
2012/34,Peter Gade,Denmark,62882,5
2012/33,Peter Gade,Denmark,62882,5
2012/32,Peter Gade,Denmark,67432,5
2012/31,Peter Gade,Denmark,64682,5
2012/30,Peter Gade,Denmark,64682,5
2012/29,Peter Gade,Denmark,64682,5
2012/28,Peter Gade,Denmark,64682,5
2012/27,Peter Gade,Denmark,64682,5
2012/26,Peter Gade,Denmark,64682,5
2012/25,Peter Gade,Denmark,64682,5
2012/24,Peter Gade,Denmark,71562,5
2012/23,Peter Gade,Denmark,71562,5
2012/22,Peter Gade,Denmark,71562,5
2012/21,Peter Gade,Denmark,71103,5
2012/20,Peter Gade,Denmark,71103,5
2012/19,Peter Gade,Denmark,71103,5
2012/18,Peter Gade,Denmark,71103,5
2012/17,Peter Gade,Denmark,73863,5
2012/16,Peter Gade,Denmark,73863,4
2012/15,Peter Gade,Denmark,73863,4
2012/14,Peter Gade,Denmark,73863,4
2012/13,Peter Gade,Denmark,73863,4
2012/12,Peter Gade,Denmark,73863,4
2012/11,Peter Gade,Denmark,73863,4
2012/10,Peter Gade,Denmark,73863,4
2012/09,Peter Gade,Denmark,73863,4
