data,name,country,points,rank
2023/50,Shi Yu Qi,China,77674,7
2023/49,Shi Yu Qi,China,77674,7
2023/48,Shi Yu Qi,China,77674,7
2023/47,Shi Yu Qi,China,77674,7
2023/46,Shi Yu Qi,China,76874,7
2023/45,Shi Yu Qi,China,76874,7
2023/44,Shi Yu Qi,China,76874,7
2023/43,Shi Yu Qi,China,76874,7
2023/42,Shi Yu Qi,China,80174,4
2023/41,Shi Yu Qi,China,80174,4
2023/40,Shi Yu Qi,China,76024,6
2023/39,Shi Yu Qi,China,76024,6
2023/38,Shi Yu Qi,China,76024,6
2023/37,Shi Yu Qi,China,76024,5
2023/36,Shi Yu Qi,China,72524,5
2023/35,Shi Yu Qi,China,72524,5
2023/34,Shi Yu Qi,China,70524,8
2023/33,Shi Yu Qi,China,70524,8
2023/32,Shi Yu Qi,China,70524,8
2023/31,Shi Yu Qi,China,70524,8
2023/30,Shi Yu Qi,China,72174,5
2023/29,Shi Yu Qi,China,70554,6
2023/28,Shi Yu Qi,China,70554,5
2023/27,Shi Yu Qi,China,70554,5
2023/26,Shi Yu Qi,China,70554,6
2023/25,Shi Yu Qi,China,70554,7
2023/24,Shi Yu Qi,China,70554,6
2023/23,Shi Yu Qi,China,68824,9
2023/22,Shi Yu Qi,China,68824,9
2023/21,Shi Yu Qi,China,68824,8
2023/20,Shi Yu Qi,China,64540,10
2023/19,Shi Yu Qi,China,64540,10
2023/18,Shi Yu Qi,China,64540,10
2023/17,Shi Yu Qi,China,62400,10
2023/16,Shi Yu Qi,China,62400,10
2023/15,Shi Yu Qi,China,62400,10
2023/14,Shi Yu Qi,China,62400,10
2023/13,Shi Yu Qi,China,62400,10
2023/12,Shi Yu Qi,China,62400,10
2023/11,Shi Yu Qi,China,53870,12
2023/10,Shi Yu Qi,China,53870,13
2023/09,Shi Yu Qi,China,53870,13
2023/08,Shi Yu Qi,China,53870,13
2023/07,Shi Yu Qi,China,53870,13
2023/06,Shi Yu Qi,China,53870,13
2023/05,Shi Yu Qi,China,48970,19
2023/04,Shi Yu Qi,China,42550,27
2023/03,Shi Yu Qi,China,38230,33
2023/02,Shi Yu Qi,China,35230,34
2023/01,Shi Yu Qi,China,35230,34
2022/52,Shi Yu Qi,China,35230,36
2022/51,Shi Yu Qi,China,35230,37
2022/50,Shi Yu Qi,China,42294,31
2022/49,Shi Yu Qi,China,42815,30
2022/48,Shi Yu Qi,China,42815,30
2022/47,Shi Yu Qi,China,50015,21
