data,name,country,id,points,rank,lastpoints
2023/12/12,Viktor AXELSEN,Denmark,25831,98555,1,105655
2023/12/12,Kodai NARAOKA,Japan,62063,85315,2,85315
2023/12/12,LI Shi Feng,China,95476,81948,3,81948
2023/12/12,Anthony Sinisuka GINTING,Indonesia,95661,81881,4,86031
2023/12/12,Kunlavut VITIDSARN,Thailand,64032,79778,5,79778
2023/12/12,Jonatan CHRISTIE,Indonesia,73442,78511,6,82111
2023/12/12,SHI Yu Qi,China,57945,77674,7,77674
2023/12/12,PRANNOY H. S.,India,83950,75487,8,76037
2023/12/12,LOH Kean Yew,Singapore,76115,68362,9,71062
2023/12/12,LEE Zii Jia,Malaysia,81561,68226,10,68226
2023/12/5,Viktor AXELSEN,Denmark,25831,105655,1,105655
2023/12/5,Anthony Sinisuka GINTING,Indonesia,95661,86031,2,86031
2023/12/5,Kodai NARAOKA,Japan,62063,85315,3,85315
2023/12/5,Jonatan CHRISTIE,Indonesia,73442,82111,4,82111
2023/12/5,LI Shi Feng,China,95476,81948,5,81948
2023/12/5,Kunlavut VITIDSARN,Thailand,64032,79778,6,79778
2023/12/5,SHI Yu Qi,China,57945,77674,7,77674
2023/12/5,PRANNOY H. S.,India,83950,76037,8,76037
2023/12/5,LOH Kean Yew,Singapore,76115,71062,9,71062
2023/12/5,LEE Zii Jia,Malaysia,81561,68226,10,68226
2023/11/28,Viktor AXELSEN,Denmark,25831,105655,1,105655
2023/11/28,Anthony Sinisuka GINTING,Indonesia,95661,86031,2,86031
2023/11/28,Kodai NARAOKA,Japan,62063,85315,3,80915
2023/11/28,Jonatan CHRISTIE,Indonesia,73442,82111,4,82111
2023/11/28,LI Shi Feng,China,95476,81948,5,81948
2023/11/28,Kunlavut VITIDSARN,Thailand,64032,79778,6,79778
2023/11/28,SHI Yu Qi,China,57945,77674,7,77674
2023/11/28,PRANNOY H. S.,India,83950,76037,8,76037
2023/11/28,LOH Kean Yew,Singapore,76115,71062,9,71062
2023/11/28,LEE Zii Jia,Malaysia,81561,68226,10,68226
2023/11/21,Viktor AXELSEN,Denmark,25831,105655,1,101355
2023/11/21,Anthony Sinisuka GINTING,Indonesia,95661,86031,2,86031
2023/11/21,Jonatan CHRISTIE,Indonesia,73442,82111,3,81871
2023/11/21,LI Shi Feng,China,95476,81948,4,81948
2023/11/21,Kodai NARAOKA,Japan,62063,80915,5,80915
2023/11/21,Kunlavut VITIDSARN,Thailand,64032,79778,6,79778
2023/11/21,SHI Yu Qi,China,57945,77674,7,76874
2023/11/21,PRANNOY H. S.,India,83950,76037,8,76037
2023/11/21,LOH Kean Yew,Singapore,76115,71062,9,71062
2023/11/21,Anders ANTONSEN,Denmark,91554,67330,10,66610
2023/11/14,Viktor AXELSEN,Denmark,25831,101355,1,101355
2023/11/14,Anthony Sinisuka GINTING,Indonesia,95661,86031,2,86031
2023/11/14,LI Shi Feng,China,95476,81948,3,81948
2023/11/14,Jonatan CHRISTIE,Indonesia,73442,81871,4,81871
2023/11/14,Kodai NARAOKA,Japan,62063,80915,5,80915
2023/11/14,Kunlavut VITIDSARN,Thailand,64032,79778,6,79778
2023/11/14,SHI Yu Qi,China,57945,76874,7,76874
2023/11/14,PRANNOY H. S.,India,83950,76037,8,76037
