data,name,country,id,points,rank,lastpoints
2023/12/5,Viktor AXELSEN,Denmark,25831,105655,1,101355
2023/12/5,Anthony Sinisuka GINTING,Indonesia,95661,86031,2,86031
2023/12/5,Kodai NARAOKA,Japan,62063,85315,3,80915
2023/12/5,Jonatan CHRISTIE,Indonesia,73442,82111,4,81871
2023/12/5,LI Shi Feng,China,95476,81948,5,81948
2023/12/5,Kunlavut VITIDSARN,Thailand,64032,79778,6,79778
2023/12/5,SHI Yu Qi,China,57945,77674,7,76874
2023/12/5,PRANNOY H. S.,India,83950,76037,8,76037
2023/12/5,LOH Kean Yew,Singapore,76115,71062,9,71062
2023/12/5,LEE Zii Jia,Malaysia,81561,68226,10,59876
2023/11/7,Viktor AXELSEN,Denmark,25831,101355,1,107455
2023/11/7,Anthony Sinisuka GINTING,Indonesia,95661,86031,2,86431
2023/11/7,LI Shi Feng,China,95476,81948,3,71748
2023/11/7,Jonatan CHRISTIE,Indonesia,73442,81871,4,78171
2023/11/7,Kodai NARAOKA,Japan,62063,80915,5,81315
2023/11/7,Kunlavut VITIDSARN,Thailand,64032,79778,6,79778
2023/11/7,SHI Yu Qi,China,57945,76874,7,76024
2023/11/7,PRANNOY H. S.,India,83950,76037,8,72437
2023/11/7,LOH Kean Yew,Singapore,76115,71062,9,71062
2023/11/7,Anders ANTONSEN,Denmark,91554,66610,10,64510
2023/10/3,Viktor AXELSEN,Denmark,25831,107455,1,101505
2023/10/3,Anthony Sinisuka GINTING,Indonesia,95661,86431,2,85051
2023/10/3,Kodai NARAOKA,Japan,62063,81315,3,81315
2023/10/3,Kunlavut VITIDSARN,Thailand,64032,79778,4,79778
2023/10/3,Jonatan CHRISTIE,Indonesia,73442,78171,5,69221
2023/10/3,SHI Yu Qi,China,57945,76024,6,72524
2023/10/3,PRANNOY H. S.,India,83950,72437,7,72437
2023/10/3,LI Shi Feng,China,95476,71748,8,71748
2023/10/3,LOH Kean Yew,Singapore,76115,71062,9,69262
2023/10/3,Anders ANTONSEN,Denmark,91554,64510,10,63310
2023/9/5,Viktor AXELSEN,Denmark,25831,101505,1,107305
2023/9/5,Anthony Sinisuka GINTING,Indonesia,95661,85051,2,87211
2023/9/5,Kodai NARAOKA,Japan,62063,81315,3,76915
2023/9/5,Kunlavut VITIDSARN,Thailand,64032,79778,4,77778
2023/9/5,SHI Yu Qi,China,57945,72524,5,70524
2023/9/5,PRANNOY H. S.,India,83950,72437,6,66957
2023/9/5,LI Shi Feng,China,95476,71748,7,71448
2023/9/5,LOH Kean Yew,Singapore,76115,69262,8,71262
2023/9/5,Jonatan CHRISTIE,Indonesia,73442,69221,9,72571
2023/9/5,Anders ANTONSEN,Denmark,91554,63310,10,67110
2023/8/1,Viktor AXELSEN,Denmark,25831,107305,1,101205
2023/8/1,Anthony Sinisuka GINTING,Indonesia,95661,87211,2,89811
2023/8/1,Kunlavut VITIDSARN,Thailand,64032,77778,3,74898
2023/8/1,Kodai NARAOKA,Japan,62063,76915,4,77015
2023/8/1,Jonatan CHRISTIE,Indonesia,73442,72571,5,67541
2023/8/1,LI Shi Feng,China,95476,71448,6,65538
2023/8/1,LOH Kean Yew,Singapore,76115,71262,7,69882
2023/8/1,SHI Yu Qi,China,57945,70524,8,70554
2023/8/1,PRANNOY H. S.,India,83950,66957,9,67677
2023/8/1,CHOU Tien Chen,Taipei,34810,64077,10,68627
2023/7/4,Viktor AXELSEN,Denmark,25831,101205,1,103005
2023/7/4,Anthony Sinisuka GINTING,Indonesia,95661,89811,2,81811
2023/7/4,Kodai NARAOKA,Japan,62063,77015,3,74165
2023/7/4,Kunlavut VITIDSARN,Thailand,64032,74898,4,74898
2023/7/4,SHI Yu Qi,China,57945,70554,5,68824
2023/7/4,LOH Kean Yew,Singapore,76115,69882,6,71682
2023/7/4,CHOU Tien Chen,Taipei,34810,68627,7,69027
2023/7/4,PRANNOY H. S.,India,83950,67677,8,68927
2023/7/4,Jonatan CHRISTIE,Indonesia,73442,67541,9,69121
2023/7/4,LI Shi Feng,China,95476,65538,10,65538
2023/6/6,Viktor AXELSEN,Denmark,25831,103005,1,103906
2023/6/6,Anthony Sinisuka GINTING,Indonesia,95661,81811,2,82979
2023/6/6,Kunlavut VITIDSARN,Thailand,64032,74898,3,68839
2023/6/6,Kodai NARAOKA,Japan,62063,74165,4,74422
2023/6/6,LOH Kean Yew,Singapore,76115,71682,5,72474
2023/6/6,Jonatan CHRISTIE,Indonesia,73442,69121,6,70712
2023/6/6,CHOU Tien Chen,Taipei,34810,69027,7,71266
2023/6/6,PRANNOY H. S.,India,83950,68927,8,66147
2023/6/6,SHI Yu Qi,China,57945,68824,9,64540
2023/6/6,LEE Zii Jia,Malaysia,81561,59876,10,67468
2023/5/2,Viktor AXELSEN,Denmark,25831,103906,1,108206
2023/5/2,Anthony Sinisuka GINTING,Indonesia,95661,82979,2,77579
2023/5/2,Kodai NARAOKA,Japan,62063,74422,3,73772
2023/5/2,LOH Kean Yew,Singapore,76115,72474,4,68874
2023/5/2,CHOU Tien Chen,Taipei,34810,71266,5,71266
2023/5/2,Jonatan CHRISTIE,Indonesia,73442,70712,6,79112
2023/5/2,Kunlavut VITIDSARN,Thailand,64032,68839,7,69079
2023/5/2,LEE Zii Jia,Malaysia,81561,67468,8,75868
2023/5/2,PRANNOY H. S.,India,83950,66147,9,64347
2023/5/2,SHI Yu Qi,China,57945,64540,10,62400
2023/4/4,Viktor AXELSEN,Denmark,25831,108206,1,114156
2023/4/4,Jonatan CHRISTIE,Indonesia,73442,79112,2,80612
2023/4/4,Anthony Sinisuka GINTING,Indonesia,95661,77579,3,77579
2023/4/4,LEE Zii Jia,Malaysia,81561,75868,4,75868
2023/4/4,Kodai NARAOKA,Japan,62063,73772,5,72672
2023/4/4,CHOU Tien Chen,Taipei,34810,71266,6,73716
2023/4/4,Kunlavut VITIDSARN,Thailand,64032,69079,7,72229
2023/4/4,LOH Kean Yew,Singapore,76115,68874,8,68874
2023/4/4,PRANNOY H. S.,India,83950,64347,9,65497
2023/4/4,SHI Yu Qi,China,57945,62400,10,64941
2023/3/7,Viktor AXELSEN,Denmark,25831,114156,1,114156
2023/3/7,Jonatan CHRISTIE,Indonesia,73442,80612,2,80612
2023/3/7,Anthony Sinisuka GINTING,Indonesia,95661,77579,3,77579
2023/3/7,LEE Zii Jia,Malaysia,81561,75868,4,75868
2023/3/7,CHOU Tien Chen,Taipei,34810,73716,5,73716
2023/3/7,Kodai NARAOKA,Japan,62063,72672,6,70520
2023/3/7,Kunlavut VITIDSARN,Thailand,64032,72229,7,72229
2023/3/7,LOH Kean Yew,Singapore,76115,68874,8,68874
2023/3/7,PRANNOY H. S.,India,83950,65497,9,64280
2023/3/7,LU Guang Zu,China,77427,58230,10,58230
2023/2/7,Viktor AXELSEN,Denmark,25831,114156,1,108056
2023/2/7,Jonatan CHRISTIE,Indonesia,73442,80612,2,75812
2023/2/7,Anthony Sinisuka GINTING,Indonesia,95661,77579,3,75749
2023/2/7,LEE Zii Jia,Malaysia,81561,75868,4,76588
2023/2/7,CHOU Tien Chen,Taipei,34810,73716,5,75466
2023/2/7,Kunlavut VITIDSARN,Thailand,64032,72229,6,59679
2023/2/7,Kodai NARAOKA,Japan,62063,70520,7,64640
2023/2/7,LOH Kean Yew,Singapore,76115,68874,8,70444
2023/2/7,PRANNOY H. S.,India,83950,64280,9,62720
2023/2/7,LU Guang Zu,China,77427,58230,10,58230
2023/1/3,Viktor AXELSEN,Denmark,25831,108056,1,116806
2023/1/3,LEE Zii Jia,Malaysia,81561,76588,2,87128
2023/1/3,Jonatan CHRISTIE,Indonesia,73442,75812,3,76362
2023/1/3,Anthony Sinisuka GINTING,Indonesia,95661,75749,4,70589
2023/1/3,CHOU Tien Chen,Taipei,34810,75466,5,81526
2023/1/3,LOH Kean Yew,Singapore,76115,70444,6,82874
2023/1/3,Kodai NARAOKA,Japan,62063,64640,7,64640
2023/1/3,PRANNOY H. S.,India,83950,62720,8,58760
2023/1/3,Kunlavut VITIDSARN,Thailand,64032,59679,9,69799
2023/1/3,Lakshya SEN,India,68870,59594,10,75024
2022/12/6,Viktor AXELSEN,Denmark,25831,116806,1,122606
2022/12/6,LEE Zii Jia,Malaysia,81561,87128,2,92528
2022/12/6,LOH Kean Yew,Singapore,76115,82874,3,82874
2022/12/6,CHOU Tien Chen,Taipei,34810,81526,4,87076
2022/12/6,Jonatan CHRISTIE,Indonesia,73442,76362,5,76912
2022/12/6,Lakshya SEN,India,68870,75024,6,76424
2022/12/6,Anthony Sinisuka GINTING,Indonesia,95661,70589,7,77599
2022/12/6,Kunlavut VITIDSARN,Thailand,64032,69799,8,70949
2022/12/6,Kento MOMOTA,Japan,89785,68704,9,72304
2022/12/6,Anders ANTONSEN,Denmark,91554,67110,10,87400
2022/11/1,Viktor AXELSEN,Denmark,25831,122606,1,122606
2022/11/1,LEE Zii Jia,Malaysia,81561,92528,2,91578
2022/11/1,Anders ANTONSEN,Denmark,91554,87400,3,92700
2022/11/1,CHOU Tien Chen,Taipei,34810,87076,4,89576
2022/11/1,LOH Kean Yew,Singapore,76115,82874,5,81594
2022/11/1,Anthony Sinisuka GINTING,Indonesia,95661,77599,6,80379
2022/11/1,Jonatan CHRISTIE,Indonesia,73442,76912,7,76912
2022/11/1,Lakshya SEN,India,68870,76424,8,75574
2022/11/1,Kento MOMOTA,Japan,89785,72304,9,78304
2022/11/1,Kunlavut VITIDSARN,Thailand,64032,70949,10,70849
2022/10/4,Viktor AXELSEN,Denmark,25831,122606,1,122606
2022/10/4,Anders ANTONSEN,Denmark,91554,92700,2,93300
2022/10/4,LEE Zii Jia,Malaysia,81561,91578,3,91578
2022/10/4,CHOU Tien Chen,Taipei,34810,89576,4,91126
2022/10/4,LOH Kean Yew,Singapore,76115,81594,5,81594
2022/10/4,Anthony Sinisuka GINTING,Indonesia,95661,80379,6,89879
2022/10/4,Kento MOMOTA,Japan,89785,78304,7,107104
2022/10/4,Jonatan CHRISTIE,Indonesia,73442,76912,8,79662
2022/10/4,Lakshya SEN,India,68870,75574,9,75874
2022/10/4,Kunlavut VITIDSARN,Thailand,64032,70849,10,70849
2022/9/6,Viktor AXELSEN,Denmark,25831,122606,1,121606
2022/9/6,Kento MOMOTA,Japan,89785,107104,2,112704
2022/9/6,Anders ANTONSEN,Denmark,91554,93300,3,98300
2022/9/6,LEE Zii Jia,Malaysia,81561,91578,4,91578
2022/9/6,CHOU Tien Chen,Taipei,34810,91126,5,93776
2022/9/6,Anthony Sinisuka GINTING,Indonesia,95661,89879,6,89279
2022/9/6,LOH Kean Yew,Singapore,76115,81594,7,79594
2022/9/6,Jonatan CHRISTIE,Indonesia,73442,79662,8,82812
2022/9/6,Lakshya SEN,India,68870,75874,9,75874
2022/9/6,CHEN Long,China,75787,71370,10,80090
2022/8/2,Viktor AXELSEN,Denmark,25831,121606,1,121606
2022/8/2,Kento MOMOTA,Japan,89785,112704,2,112704
2022/8/2,Anders ANTONSEN,Denmark,91554,98300,3,98300
2022/8/2,CHOU Tien Chen,Taipei,34810,93776,4,93776
2022/8/2,LEE Zii Jia,Malaysia,81561,91578,5,91578
2022/8/2,Anthony Sinisuka GINTING,Indonesia,95661,89279,6,87879
2022/8/2,Jonatan CHRISTIE,Indonesia,73442,82812,7,83512
2022/8/2,CHEN Long,China,75787,80090,8,84400
2022/8/2,LOH Kean Yew,Singapore,76115,79594,9,77854
2022/8/2,Lakshya SEN,India,68870,75874,10,75874
2022/7/5,Viktor AXELSEN,Denmark,25831,121606,1,119806
