data,name,country,points,rank
2014/24,Taufik HIDAYAT,Indonesia,2660,425
2014/23,Taufik HIDAYAT,Indonesia,2660,413
2014/22,Taufik HIDAYAT,Indonesia,2660,414
2014/21,Taufik HIDAYAT,Indonesia,2660,416
2014/20,Taufik HIDAYAT,Indonesia,2660,418
2014/19,Taufik HIDAYAT,Indonesia,2660,418
2014/18,Taufik HIDAYAT,Indonesia,2660,422
2014/17,Taufik HIDAYAT,Indonesia,2660,423
2014/16,Taufik HIDAYAT,Indonesia,2660,416
2014/15,Taufik HIDAYAT,Indonesia,2660,419
2014/14,Taufik HIDAYAT,Indonesia,8980,181
2014/13,Taufik HIDAYAT,Indonesia,8980,182
2014/12,Taufik HIDAYAT,Indonesia,8980,183
2014/11,Taufik HIDAYAT,Indonesia,8980,181
2014/10,Taufik HIDAYAT,Indonesia,11640,143
2014/09,Taufik HIDAYAT,Indonesia,11640,144
2014/08,Taufik HIDAYAT,Indonesia,11640,146
2014/07,Taufik HIDAYAT,Indonesia,11640,143
2014/06,Taufik HIDAYAT,Indonesia,11640,143
2014/05,Taufik HIDAYAT,Indonesia,11640,143
2014/04,Taufik HIDAYAT,Indonesia,11640,141
2014/03,Taufik HIDAYAT,Indonesia,15240,107
2014/02,Taufik HIDAYAT,Indonesia,15240,106
2014/01,Taufik HIDAYAT,Indonesia,15240,106
2013/52,Taufik HIDAYAT,Indonesia,15240,106
2013/51,Taufik HIDAYAT,Indonesia,15900,101
2013/50,Taufik HIDAYAT,Indonesia,15900,100
2013/49,Taufik HIDAYAT,Indonesia,15900,97
2013/48,Taufik HIDAYAT,Indonesia,18620,84
2013/47,Taufik HIDAYAT,Indonesia,20840,66
2013/46,Taufik HIDAYAT,Indonesia,20840,70
2013/45,Taufik HIDAYAT,Indonesia,20840,69
2013/44,Taufik HIDAYAT,Indonesia,20840,70
2013/43,Taufik HIDAYAT,Indonesia,20840,69
2013/42,Taufik HIDAYAT,Indonesia,20840,71
2013/41,Taufik HIDAYAT,Indonesia,20840,71
2013/40,Taufik HIDAYAT,Indonesia,20840,67
2013/39,Taufik HIDAYAT,Indonesia,20840,67
2013/38,Taufik HIDAYAT,Indonesia,25880,49
2013/37,Taufik HIDAYAT,Indonesia,25880,48
2013/36,Taufik HIDAYAT,Indonesia,25880,48
2013/35,Taufik HIDAYAT,Indonesia,25880,48
2013/34,Taufik HIDAYAT,Indonesia,25880,50
2013/33,Taufik HIDAYAT,Indonesia,25880,50
2013/32,Taufik HIDAYAT,Indonesia,25880,48
2013/31,Taufik HIDAYAT,Indonesia,30680,39
2013/30,Taufik HIDAYAT,Indonesia,30680,39
2013/29,Taufik HIDAYAT,Indonesia,30680,38
2013/28,Taufik HIDAYAT,Indonesia,30680,37
2013/27,Taufik HIDAYAT,Indonesia,30680,39
2013/26,Taufik HIDAYAT,Indonesia,30680,39
2013/25,Taufik HIDAYAT,Indonesia,32240,36
2013/24,Taufik HIDAYAT,Indonesia,33900,35
2013/23,Taufik HIDAYAT,Indonesia,33900,35
2013/22,Taufik HIDAYAT,Indonesia,33900,35
2013/21,Taufik HIDAYAT,Indonesia,37190,31
2013/20,Taufik HIDAYAT,Indonesia,37190,31
2013/19,Taufik HIDAYAT,Indonesia,37190,31
2013/18,Taufik HIDAYAT,Indonesia,37190,29
2013/17,Taufik HIDAYAT,Indonesia,38630,26
2013/16,Taufik HIDAYAT,Indonesia,38630,26
2013/15,Taufik HIDAYAT,Indonesia,38630,26
2013/14,Taufik HIDAYAT,Indonesia,39760,25
2013/13,Taufik HIDAYAT,Indonesia,39760,25
2013/12,Taufik HIDAYAT,Indonesia,39760,25
2013/11,Taufik HIDAYAT,Indonesia,42440,23
2013/10,Taufik HIDAYAT,Indonesia,45830,20
2013/09,Taufik HIDAYAT,Indonesia,45830,21
2013/08,Taufik HIDAYAT,Indonesia,45830,21
2013/07,Taufik HIDAYAT,Indonesia,45830,21
2013/06,Taufik HIDAYAT,Indonesia,45830,21
2013/05,Taufik HIDAYAT,Indonesia,45830,21
2013/04,Taufik HIDAYAT,Indonesia,45830,21
2013/03,Taufik HIDAYAT,Indonesia,44450,21
2013/02,Taufik HIDAYAT,Indonesia,47270,17
2013/01,Taufik HIDAYAT,Indonesia,47270,19
2012/52,Taufik HIDAYAT,Indonesia,47270,19
2012/51,Taufik HIDAYAT,Indonesia,51550,12
2012/50,Taufik HIDAYAT,Indonesia,52020,11
2012/49,Taufik HIDAYAT,Indonesia,52020,12
2012/48,Taufik HIDAYAT,Indonesia,52020,13
2012/47,Taufik HIDAYAT,Indonesia,52020,13
2012/46,Taufik HIDAYAT,Indonesia,52020,13
2012/45,Taufik HIDAYAT,Indonesia,52020,13
2012/44,Taufik HIDAYAT,Indonesia,52020,13
2012/43,Taufik HIDAYAT,Indonesia,52020,13
2012/42,Taufik HIDAYAT,Indonesia,52020,12
2012/41,Taufik HIDAYAT,Indonesia,52020,12
2012/40,Taufik HIDAYAT,Indonesia,52020,11
2012/39,Taufik HIDAYAT,Indonesia,52600,11
2012/38,Taufik HIDAYAT,Indonesia,51880,12
2012/37,Taufik HIDAYAT,Indonesia,51880,12
2012/36,Taufik HIDAYAT,Indonesia,51880,12
2012/35,Taufik HIDAYAT,Indonesia,51880,12
2012/34,Taufik HIDAYAT,Indonesia,51880,12
