data,name,country,points,rank
2023/50,Viktor Axelsen,Denmark,98555,1
2023/49,Viktor Axelsen,Denmark,105655,1
2023/48,Viktor Axelsen,Denmark,105655,1
2023/47,Viktor Axelsen,Denmark,105655,1
2023/46,Viktor Axelsen,Denmark,101355,1
2023/45,Viktor Axelsen,Denmark,101355,1
2023/44,Viktor Axelsen,Denmark,101355,1
2023/43,Viktor Axelsen,Denmark,107455,1
2023/42,Viktor Axelsen,Denmark,107455,1
2023/41,Viktor Axelsen,Denmark,107455,1
2023/40,Viktor Axelsen,Denmark,107455,1
2023/39,Viktor Axelsen,Denmark,107455,1
2023/38,Viktor Axelsen,Denmark,107455,1
2023/37,Viktor Axelsen,Denmark,107455,1
2023/36,Viktor Axelsen,Denmark,101505,1
2023/35,Viktor Axelsen,Denmark,101505,1
2023/34,Viktor Axelsen,Denmark,107305,1
2023/33,Viktor Axelsen,Denmark,107305,1
2023/32,Viktor Axelsen,Denmark,107305,1
2023/31,Viktor Axelsen,Denmark,107305,1
2023/30,Viktor Axelsen,Denmark,101205,1
2023/29,Viktor Axelsen,Denmark,101205,1
2023/28,Viktor Axelsen,Denmark,101205,1
2023/27,Viktor Axelsen,Denmark,101205,1
2023/26,Viktor Axelsen,Denmark,103005,1
2023/25,Viktor Axelsen,Denmark,103005,1
2023/24,Viktor Axelsen,Denmark,103005,1
2023/23,Viktor Axelsen,Denmark,103005,1
2023/22,Viktor Axelsen,Denmark,103005,1
2023/21,Viktor Axelsen,Denmark,103005,1
2023/20,Viktor Axelsen,Denmark,103005,1
2023/19,Viktor Axelsen,Denmark,103906,1
2023/18,Viktor Axelsen,Denmark,103906,1
2023/17,Viktor Axelsen,Denmark,108206,1
2023/16,Viktor Axelsen,Denmark,108206,1
2023/15,Viktor Axelsen,Denmark,108206,1
2023/14,Viktor Axelsen,Denmark,108206,1
2023/13,Viktor Axelsen,Denmark,108206,1
2023/12,Viktor Axelsen,Denmark,108206,1
2023/11,Viktor Axelsen,Denmark,114156,1
2023/10,Viktor Axelsen,Denmark,114156,1
2023/09,Viktor Axelsen,Denmark,114156,1
2023/08,Viktor Axelsen,Denmark,114156,1
2023/07,Viktor Axelsen,Denmark,114156,1
2023/06,Viktor Axelsen,Denmark,114156,1
2023/05,Viktor Axelsen,Denmark,114156,1
2023/04,Viktor Axelsen,Denmark,114156,1
2023/03,Viktor Axelsen,Denmark,114006,1
2023/02,Viktor Axelsen,Denmark,108056,1
2023/01,Viktor Axelsen,Denmark,108056,1
2022/52,Viktor Axelsen,Denmark,108056,1
2022/51,Viktor Axelsen,Denmark,116806,1
2022/50,Viktor Axelsen,Denmark,119606,1
2022/49,Viktor Axelsen,Denmark,116806,1
2022/48,Viktor Axelsen,Denmark,116806,1
2022/47,Viktor Axelsen,Denmark,120606,1
2022/46,Viktor Axelsen,Denmark,120606,1
2022/45,Viktor Axelsen,Denmark,120606,1
2022/44,Viktor Axelsen,Denmark,122606,1
2022/43,Viktor Axelsen,Denmark,122606,1
2022/42,Viktor Axelsen,Denmark,122606,1
2022/41,Viktor Axelsen,Denmark,122606,1
2022/40,Viktor Axelsen,Denmark,122606,1
2022/39,Viktor Axelsen,Denmark,122606,1
2022/38,Viktor Axelsen,Denmark,122606,1
2022/37,Viktor Axelsen,Denmark,122606,1
2022/36,Viktor Axelsen,Denmark,122606,1
2022/35,Viktor Axelsen,Denmark,122606,1
2022/34,Viktor Axelsen,Denmark,121606,1
2022/33,Viktor Axelsen,Denmark,121606,1
2022/32,Viktor Axelsen,Denmark,121606,1
2022/31,Viktor Axelsen,Denmark,121606,1
2022/30,Viktor Axelsen,Denmark,121606,1
2022/29,Viktor Axelsen,Denmark,121606,1
2022/28,Viktor Axelsen,Denmark,121606,1
2022/27,Viktor Axelsen,Denmark,121606,1
2022/26,Viktor Axelsen,Denmark,121606,1
2022/25,Viktor Axelsen,Denmark,121606,1
2022/24,Viktor Axelsen,Denmark,119806,1
2022/23,Viktor Axelsen,Denmark,119806,1
2022/22,Viktor Axelsen,Denmark,119806,1
2022/21,Viktor Axelsen,Denmark,119806,1
2022/20,Viktor Axelsen,Denmark,119806,1
2022/19,Viktor Axelsen,Denmark,118579,1
2022/18,Viktor Axelsen,Denmark,118579,1
2022/17,Viktor Axelsen,Denmark,118579,1
2022/16,Viktor Axelsen,Denmark,118579,1
2022/15,Viktor Axelsen,Denmark,118579,1
2022/14,Viktor Axelsen,Denmark,118579,1
2022/13,Viktor Axelsen,Denmark,118579,1
2022/12,Viktor Axelsen,Denmark,118579,1
2022/11,Viktor Axelsen,Denmark,116779,1
2022/09,Viktor Axelsen,Denmark,116779,1
2022/08,Viktor Axelsen,Denmark,116779,1
2022/07,Viktor Axelsen,Denmark,116779,1
2022/06,Viktor Axelsen,Denmark,116779,1
2022/05,Viktor Axelsen,Denmark,116779,1
2022/04,Viktor Axelsen,Denmark,116779,1
2022/03,Viktor Axelsen,Denmark,116779,1
2022/02,Viktor Axelsen,Denmark,116779,1
2022/01,Viktor Axelsen,Denmark,116779,1
2021/52,Viktor Axelsen,Denmark,116779,1
2021/51,Viktor Axelsen,Denmark,116779,1
2021/50,Viktor Axelsen,Denmark,116779,1
2021/49,Viktor Axelsen,Denmark,116779,1
2021/48,Viktor Axelsen,Denmark,113979,1
2021/47,Viktor Axelsen,Denmark,109779,2
2021/46,Viktor Axelsen,Denmark,109779,2
2021/45,Viktor Axelsen,Denmark,109779,2
2021/44,Viktor Axelsen,Denmark,109779,2
2021/43,Viktor Axelsen,Denmark,109779,2
2021/42,Viktor Axelsen,Denmark,105479,2
2021/41,Viktor Axelsen,Denmark,105128,2
2021/40,Viktor Axelsen,Denmark,105128,2
2021/39,Viktor Axelsen,Denmark,103786,2
2021/38,Viktor Axelsen,Denmark,103786,2
2021/37,Viktor Axelsen,Denmark,103786,2
2021/36,Viktor Axelsen,Denmark,103786,2
2021/35,Viktor Axelsen,Denmark,103786,2
2021/34,Viktor Axelsen,Denmark,103786,2
2021/33,Viktor Axelsen,Denmark,103786,2
2021/32,Viktor Axelsen,Denmark,103786,2
2021/31,Viktor Axelsen,Denmark,103786,2
2021/30,Viktor Axelsen,Denmark,98486,2
2021/29,Viktor Axelsen,Denmark,98486,2
2021/28,Viktor Axelsen,Denmark,98486,2
2021/27,Viktor Axelsen,Denmark,98486,2
2021/26,Viktor Axelsen,Denmark,98486,2
2021/25,Viktor Axelsen,Denmark,98486,2
2021/24,Viktor Axelsen,Denmark,98486,2
2021/23,Viktor Axelsen,Denmark,98486,2
2021/22,Viktor Axelsen,Denmark,98486,2
2021/21,Viktor Axelsen,Denmark,98486,2
2021/20,Viktor Axelsen,Denmark,98486,2
2021/19,Viktor Axelsen,Denmark,98486,2
2021/18,Viktor Axelsen,Denmark,98486,2
2021/17,Viktor Axelsen,Denmark,98486,2
2021/16,Viktor Axelsen,Denmark,98486,2
2021/15,Viktor Axelsen,Denmark,98486,2
2021/14,Viktor Axelsen,Denmark,98486,2
2021/13,Viktor Axelsen,Denmark,98486,2
2021/12,Viktor Axelsen,Denmark,98486,2
2021/11,Viktor Axelsen,Denmark,95286,2
2021/10,Viktor Axelsen,Denmark,95286,2
2021/09,Viktor Axelsen,Denmark,95286,2
2021/08,Viktor Axelsen,Denmark,95286,2
2021/07,Viktor Axelsen,Denmark,94278,2
2021/06,Viktor Axelsen,Denmark,94278,2
2021/05,Viktor Axelsen,Denmark,94278,2
2020/51,Viktor Axelsen,Denmark,78968,4
2020/48,Viktor Axelsen,Denmark,78968,4
2020/46,Viktor Axelsen,Denmark,78968,4
2020/45,Viktor Axelsen,Denmark,78968,4
2020/43,Viktor Axelsen,Denmark,78968,4
2020/41,Viktor Axelsen,Denmark,78968,4
2020/36,Viktor Axelsen,Denmark,78968,4
2020/12,Viktor Axelsen,Denmark,78968,4
2020/11,Viktor Axelsen,Denmark,73018,7
2020/10,Viktor Axelsen,Denmark,77168,5
2020/09,Viktor Axelsen,Denmark,77168,5
2020/08,Viktor Axelsen,Denmark,77168,5
2020/07,Viktor Axelsen,Denmark,77168,3
2020/06,Viktor Axelsen,Denmark,77168,3
2020/05,Viktor Axelsen,Denmark,77168,3
2020/04,Viktor Axelsen,Denmark,77168,3
2020/03,Viktor Axelsen,Denmark,77168,4
2020/02,Viktor Axelsen,Denmark,75788,5
2020/01,Viktor Axelsen,Denmark,75788,5
2019/52,Viktor Axelsen,Denmark,75788,5
2019/51,Viktor Axelsen,Denmark,75788,5
2019/50,Viktor Axelsen,Denmark,75788,5
2019/49,Viktor Axelsen,Denmark,75788,5
2019/48,Viktor Axelsen,Denmark,75788,5
2019/47,Viktor Axelsen,Denmark,75788,5
2019/46,Viktor Axelsen,Denmark,75788,5
2019/45,Viktor Axelsen,Denmark,75788,6
2019/44,Viktor Axelsen,Denmark,75788,5
2019/43,Viktor Axelsen,Denmark,71688,6
2019/42,Viktor Axelsen,Denmark,68308,7
2019/41,Viktor Axelsen,Denmark,68308,7
2019/40,Viktor Axelsen,Denmark,68308,7
2019/39,Viktor Axelsen,Denmark,68308,7
