【Jayson Tatum】,74,74,36.9,30.1,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,1.6
Jaylen Brown,67,67,35.9,26.6,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,1.2
Malcolm Brogdon,67,0,26.0,14.9,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,2.5
Derrick White,82,70,28.3,12.4,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,3.4
Marcus Smart,61,61,32.1,11.5,0.8,2.4,3.1,6.3,1.5,0.4,2.3,2.8,2.7
Al Horford,63,63,30.5,9.8,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,5.1
Grant Williams,79,23,25.9,8.1,1.1,3.5,4.6,1.7,0.5,0.4,1.0,2.4,1.6
Robert Williams III,35,20,23.5,8.0,3.0,5.4,8.3,1.4,0.6,1.4,1.0,1.9,1.5
Sam Hauser,80,8,16.1,6.4,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,2.4
Mike Muscala,20,4,16.2,5.9,0.7,2.7,3.4,0.6,0.2,0.3,0.5,1.4,1.3
Payton Pritchard,48,3,13.4,5.6,0.5,1.3,1.8,1.3,0.3,0.0,0.8,0.8,1.6
Blake Griffin,41,16,13.9,4.1,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,2.8
Luke Kornet,69,0,11.7,3.8,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,2.1
Justin Champagnie,2,0,11.5,2.5,1.0,1.0,2.0,1.5,0.5,0.0,0.0,0.5,INF
Jevon Carter,1,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,12,0,5.5,1.6,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,2.8
Mfiondu Kabengele,4,0,9.0,1.5,1.3,1.3,2.5,0.0,0.5,0.0,0.3,0.8,0.0
Noah Vonleh,23,1,7.5,1.1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,0.6
Justin Jackson,23,0,4.7,0.9,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,4.5
Zach LaVine,77,77,35.9,24.8,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,1.7
